"1462","949 Ruff Dr, San Jose, CA, 95110","Match","Exact","949 RUFF DR, SAN JOSE, CA, 95110","-121.911805615845,37.349495936454","122903624","L","06","085","500300","1004"
"1461","949 Ruff Dr, San Jose, CA, 95110","Match","Exact","949 RUFF DR, SAN JOSE, CA, 95110","-121.911805615845,37.349495936454","122903624","L","06","085","500300","1004"
"1460","460 W Taylor St, San Jose, CA, 95110","Match","Exact","460 W TAYLOR ST, SAN JOSE, CA, 95110","-121.910372975238,37.342630056678","122903689","L","06","085","500300","1061"
"1459","630 Blossom Hill Rd, San Jose, CA, 95123","Match","Exact","630 BLOSSOM HILL RD, SAN JOSE, CA, 95123","-121.844524475366,37.250532762974","122923673","L","06","085","512047","1003"
"1458","5665 Snell Ave, San Jose, CA, 95123","Match","Exact","5665 SNELL AVE, SAN JOSE, CA, 95123","-121.830180802054,37.248791767082","618193973","R","06","085","512026","2014"
"1457","630 Blossom Hill Rd #50, San Jose, CA, 95123","Match","Exact","630 BLOSSOM HILL RD, SAN JOSE, CA, 95123","-121.844524475366,37.250532762974","122923673","L","06","085","512047","1003"
"1456","415 Avenida Abetos, San Jose, CA, 95123","Match","Exact","415 AVE ABETOS, SAN JOSE, CA, 95123","-121.837837758749,37.254517183927","122923876","R","06","085","512026","1012"
"1455","3041 Stevens Creek Blvd, Santa Clara, CA, 95050","Match","Exact","3041 STEVENS CREEK BLVD, SANTA CLARA, CA, 95050","-121.946524983261,37.323421355339","649116635","R","06","085","505800","2014"
"1454","2855 Stevens Creek Blvd, Santa Clara, CA, 95050","Match","Exact","2855 STEVENS CREEK BLVD, SANTA CLARA, CA, 95050","-121.944694621197,37.323412708354","122904148","R","06","085","505800","2014"
"1453","1078-1098 McGinness Ave, San Jose, CA, 95127","Match","Non_Exact","1098 MCGINNESS AVE, SAN JOSE, CA, 95127","-121.824345698421,37.352721226957","123004562","L","06","085","504001","2008"
"1452","2868 Story Rd, San Jose, CA, 95127","Match","Exact","2868 STORY RD, SAN JOSE, CA, 95127","-121.822868276836,37.353570418419","618194056","R","06","085","503510","1004"
"1473","949 Ruff Dr, San Jose, CA, 95110","Match","Exact","949 RUFF DR, SAN JOSE, CA, 95110","-121.911805615845,37.349495936454","122903624","L","06","085","500300","1004"
"1472","949 Ruff Dr, San Jose, CA, 95110","Match","Exact","949 RUFF DR, SAN JOSE, CA, 95110","-121.911805615845,37.349495936454","122903624","L","06","085","500300","1004"
"1471","949 Ruff Dr, San Jose, CA, 95110","Match","Exact","949 RUFF DR, SAN JOSE, CA, 95110","-121.911805615845,37.349495936454","122903624","L","06","085","500300","1004"
"1470","949 Ruff Dr, San Jose, CA, 95110","Match","Exact","949 RUFF DR, SAN JOSE, CA, 95110","-121.911805615845,37.349495936454","122903624","L","06","085","500300","1004"
"1","840 El Paseo de Saratoga, San Jose, CA, 95130","No_Match"
"1469","1435 The Alameda, San Jose, CA, 95126","Match","Exact","1435 THE ALAMEDA, SAN JOSE, CA, 95126","-121.913983822308,37.33302127236","122903771","L","06","085","500600","1000"
"2","1502 Saratoga Ave, San Jose, CA, 95129","Match","Exact","1502 SARATOGA AVE, SAN JOSE, CA, 95129","-121.988229421258,37.294922611217","122900269","L","06","085","506601","3012"
"1468","949 Ruff Dr, San Jose, CA, 95110","Match","Exact","949 RUFF DR, SAN JOSE, CA, 95110","-121.911805615845,37.349495936454","122903624","L","06","085","500300","1004"
"3","1072 Saratoga Ave, San Jose, CA, 95129","Match","Exact","1072 SARATOGA AVE, SAN JOSE, CA, 95129","-121.977896172878,37.306942222453","122900750","L","06","085","506305","4002"
"1467","949 Ruff Dr, San Jose, CA, 95110","Match","Exact","949 RUFF DR, SAN JOSE, CA, 95110","-121.911805615845,37.349495936454","122903624","L","06","085","500300","1004"
"4","1320 Saratoga Ave, San Jose, CA, 95129","Match","Exact","1320 SARATOGA AVE, SAN JOSE, CA, 95129","-121.982032436198,37.300411492614","122900715","L","06","085","506601","1002"
"1466","949 Ruff Dr, San Jose, CA, 95110","Match","Exact","949 RUFF DR, SAN JOSE, CA, 95110","-121.911805615845,37.349495936454","122903624","L","06","085","500300","1004"
"5","2855 Stevens Creek Blvd Suite 1840, Santa Clara, CA, 95050","Match","Exact","2855 STEVENS CREEK BLVD, SANTA CLARA, CA, 95050","-121.944694621197,37.323412708354","122904148","R","06","085","505800","2014"
"1465","949 Ruff Dr, San Jose, CA, 95110","Match","Exact","949 RUFF DR, SAN JOSE, CA, 95110","-121.911805615845,37.349495936454","122903624","L","06","085","500300","1004"
